# num_packets, node_number, edge, total_time, size, fill_num, non_linear_trans, non_linear_time, linear_trans, linear_time, reduce_time
1.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.110000000000000000e+02,3.520000000000000000e+02,3.100000000000000000e+02,3.520000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,5.200000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.130000000000000000e+02,3.510000000000000000e+02,3.130000000000000000e+02,3.510000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,5.400000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.030000000000000000e+02,3.490000000000000000e+02,3.020000000000000000e+02,3.490000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,5.600000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.010000000000000000e+02,3.420000000000000000e+02,3.000000000000000000e+02,3.410000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,5.800000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.060000000000000000e+02,3.510000000000000000e+02,3.050000000000000000e+02,3.510000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,6.000000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.180000000000000000e+02,3.520000000000000000e+02,3.150000000000000000e+02,3.520000000000000000e+02,3.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,6.200000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.900000000000000000e+02,3.440000000000000000e+02,2.880000000000000000e+02,3.440000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,6.400000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,3.010000000000000000e+02,3.440000000000000000e+02,3.010000000000000000e+02,3.440000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,6.600000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.990000000000000000e+02,3.520000000000000000e+02,2.970000000000000000e+02,3.520000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,6.800000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.920000000000000000e+02,3.510000000000000000e+02,2.920000000000000000e+02,3.510000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.900000000000000000e+02,3.520000000000000000e+02,2.880000000000000000e+02,3.520000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,7.200000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.970000000000000000e+02,3.470000000000000000e+02,2.960000000000000000e+02,3.470000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,7.400000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.890000000000000000e+02,3.510000000000000000e+02,2.880000000000000000e+02,3.510000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,7.600000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.930000000000000000e+02,3.500000000000000000e+02,2.910000000000000000e+02,3.500000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,7.800000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.830000000000000000e+02,3.470000000000000000e+02,2.820000000000000000e+02,3.470000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,8.000000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.830000000000000000e+02,3.500000000000000000e+02,2.820000000000000000e+02,3.500000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,8.200000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.850000000000000000e+02,3.490000000000000000e+02,2.830000000000000000e+02,3.490000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,8.400000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.830000000000000000e+02,3.520000000000000000e+02,2.820000000000000000e+02,3.520000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,8.600000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.850000000000000000e+02,3.280000000000000000e+02,2.840000000000000000e+02,3.280000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,8.800000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.780000000000000000e+02,3.500000000000000000e+02,2.760000000000000000e+02,3.500000000000000000e+02,2.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,9.000000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.870000000000000000e+02,3.470000000000000000e+02,2.860000000000000000e+02,3.470000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,9.200000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.840000000000000000e+02,3.500000000000000000e+02,2.840000000000000000e+02,3.500000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,9.400000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.770000000000000000e+02,3.410000000000000000e+02,2.770000000000000000e+02,3.410000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,9.600000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.750000000000000000e+02,3.410000000000000000e+02,2.750000000000000000e+02,3.410000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,9.800000000000000000e+02,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.750000000000000000e+02,3.430000000000000000e+02,2.740000000000000000e+02,3.430000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.780000000000000000e+02,3.510000000000000000e+02,2.770000000000000000e+02,3.510000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,1.020000000000000000e+03,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.760000000000000000e+02,3.520000000000000000e+02,2.760000000000000000e+02,3.520000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,1.040000000000000000e+03,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.720000000000000000e+02,3.470000000000000000e+02,2.720000000000000000e+02,3.470000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,1.060000000000000000e+03,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.740000000000000000e+02,3.490000000000000000e+02,2.740000000000000000e+02,3.490000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+02,1.080000000000000000e+03,3.500000000000000000e+02,1.270000000000000000e+02,3.700000000000000000e+02,2.780000000000000000e+02,3.490000000000000000e+02,2.770000000000000000e+02,3.490000000000000000e+02,1.000000000000000000e+00
